Date,Open,High,Low,Close,Adj_Close,Volume
2010-09-27,2379729980,2386010010,2368649902,2369770020,2369770020,1873120000
2010-09-28,2373129883,2383669922,2339500000,2379590088,2379590088,2125730000
2010-09-29,2372370117,2382149902,2366189941,2376560059,2376560059,2077930000
2010-09-30,2390959961,2400060059,2354219971,2368620117,2368620117,2418300000
2010-10-01,2386820068,2389449951,2359320068,2370750000,2370750000,1932650000
2010-10-04,2362250000,2370870117,2332459961,2344520020,2344520020,1901980000
2010-10-05,2368520020,2402419922,2366060059,2399830078,2399830078,2203470000
2010-10-06,2395159912,2399129883,2368429932,2380659912,2380659912,2103800000
2010-10-07,2391629883,2392739990,2368250000,2383669922,2383669922,1846240000
2010-10-08,2384760010,2406669922,2370530029,2401909912,2401909912,2000980000
2010-10-11,2403459961,2413030029,2397570068,2402330078,2402330078,1539990000
2010-10-12,2397699951,2421790039,2379389893,2417919922,2417919922,1960920000
2010-10-13,2432550049,2452540039,2426520020,2441229980,2441229980,2294450000
2010-10-14,2441209961,2445850098,2422070068,2435379883,2435379883,2014540000
2010-10-15,2461699951,2468770020,2438030029,2468770020,2468770020,2232810000
2010-10-18,2470120117,2480949951,2462550049,2480659912,2480659912,1724710000
2010-10-19,2442209961,2462939941,2422139893,2436949951,2436949951,2241840000
2010-10-20,2443199951,2469719971,2441070068,2457389893,2457389893,2016770000
2010-10-21,2470719971,2482139893,2436340088,2459669922,2459669922,2135480000
2010-10-22,2461600098,2479389893,2459429932,2479389893,2479389893,1648180000
2010-10-25,2491620117,2507030029,2490110107,2490850098,2490850098,1746320000
2010-10-26,2476510010,2503030029,2470120117,2497290039,2497290039,1914350000
2010-10-27,2484090088,2505350098,2478010010,2503260010,2503260010,2013240000
2010-10-28,2516159912,2516199951,2489760010,2507370117,2507370117,1998340000
2010-10-29,2505989990,2517500000,2505860107,2507409912,2507409912,2068700000
2010-11-01,2520449951,2532370117,2491459961,2504840088,2504840088,1904790000
2010-11-02,2525939941,2534879883,2518290039,2533520020,2533520020,1914980000
2010-11-03,2532830078,2541419922,2511310059,2540270020,2540270020,1990410000
2010-11-04,2569270020,2579620117,2564050049,2577340088,2577340088,2492050000
2010-11-05,2577629883,2582179932,2568780029,2578979980,2578979980,2092850000
2010-11-08,2570860107,2583300049,2566780029,2580050049,2580050049,1799330000
2010-11-09,2587080078,2592939941,2552929932,2562979980,2562979980,2157370000
2010-11-10,2564310059,2578780029,2545459961,2578780029,2578780029,1998930000
2010-11-11,2534239990,2559989990,2524120117,2555520020,2555520020,2559980000
2010-11-12,2540469971,2552239990,2506399902,2518209961,2518209961,2191790000
2010-11-15,2529020020,2534560059,2512290039,2513820068,2513820068,1852210000
2010-11-16,2494209961,2503290039,2459790039,2469840088,2469840088,2234090000
2010-11-17,2471270020,2486159912,2467189941,2476010010,2476010010,1816260000
